doc_file	start_line	end_line	loc	target_file	region_name	notes
packages/flutter_plugin_kit/README.md	72	79	6	website/snippets/lib/flutter_integration.dart	watch-event-builder-readme	Builder watchEvent example in package README.
packages/plugin_kit/README.md	200	225	24	website/snippets/lib/event_bus.dart	event-bus-subscribe-emit-request-bind	on stop emit bind onRequest request cascade example.
packages/plugin_kit/README.md	245	261	15	website/snippets/lib/runtime_settings.dart	runtime-settings-pins-json-roundtrip	RuntimeSettings with Pin and wildcard plus JSON round trip.
packages/plugin_kit/README.md	269	284	14	website/snippets/lib/capabilities.dart	capability-register-factory-and-query	Define capability and query resolveRaw wrapper metadata.
packages/plugin_kit/README.md	301	340	38	website/snippets/lib/api_reference.dart	plugin-kit-symbol-cheatsheet	Core API symbol index as a docs cheatsheet snippet.
packages/plugin_kit_dialog/README.md	32	47	14	website/snippets/lib/dialog.dart	show-dialog-save-merge-settings	showPluginKitDialog flow with onSave and merged settings.
packages/plugin_kit_dialog/README.md	139	147	7	website/snippets/lib/config_fields.dart	extension-field-color-picker	ExtensionConfigField color picker renderer example.
packages/plugin_kit_dialog/README.md	223	245	21	website/snippets/lib/dialog.dart	dialog-api-surface-with-renderers	Dialog API inventory including field renderer hooks.
packages/plugin_kit_dialog/README.md	249	260	10	website/snippets/lib/config_fields.dart	config-field-types-and-handle	UiConfigurableCapability field type reference list.
skills/plugin-kit/anti-patterns.md	44	51	6	website/snippets/lib/anti_patterns_settings.dart	raw-string-service-pin-anti-pattern	Bad raw string keys in RuntimeSettings services map.
skills/plugin-kit/anti-patterns.md	56	65	8	website/snippets/lib/anti_patterns_settings.dart	typed-pin-settings-preferred-pattern	Preferred typed PluginId Pin builders for settings.
skills/plugin-kit/anti-patterns.md	71	77	5	website/snippets/lib/anti_patterns_registry.dart	resolve-during-register-anti-pattern	Avoid eager resolve in register; can capture wrong scope.
skills/plugin-kit/anti-patterns.md	82	94	11	website/snippets/lib/anti_patterns_registry.dart	lazy-capture-and-attach-resolve-patterns	Compare lazy closure capture vs resolving in attach.
skills/plugin-kit/anti-patterns.md	123	133	9	website/snippets/lib/anti_patterns_registry.dart	attach-cache-dependency-stateful-service	Stateful service resolves once in attach and reuses.
skills/plugin-kit/anti-patterns.md	138	143	4	website/snippets/lib/anti_patterns_registry.dart	resolve-inside-event-handler-pattern	Resolve dependency inside handler when lookup is cheap.
skills/plugin-kit/anti-patterns.md	208	215	6	website/snippets/lib/anti_patterns_naming.dart	reserved-plugin-id-prefix-anti-pattern	Reserved __pk prefix plugin id throws ArgumentError.
skills/plugin-kit/anti-patterns.md	229	238	8	website/snippets/lib/anti_patterns_events.dart	mutating-immutable-event-anti-pattern	Immutable event mutation anti pattern example.
skills/plugin-kit/api-cheatsheet.md	197	207	9	website/snippets/lib/capabilities.dart	capability-marker-and-raw-discovery	Marker capability registration and hasType lookup.
skills/plugin-kit/api-cheatsheet.md	263	273	9	website/snippets/lib/event_bus.dart	request-null-concede-and-sync-apis	onRequest null concede with request and sync variants.
skills/plugin-kit/patterns.md	197	208	10	website/snippets/lib/naming.dart	namespace-serviceid-and-typed-pin	Namespace child call and typed pin runtime settings.
skills/plugin-kit/patterns.md	216	233	16	website/snippets/lib/event_bus.dart	draft-event-mutation-pipeline	Draft event mutation pipeline before send.
skills/plugin-kit/patterns.md	243	253	9	website/snippets/lib/service_registry.dart	resolve-after-registry-thunk-fallback	resolveAfter fallback via deferred registry thunk.
website/src/content/docs/concepts/capabilities.mdx	42	56	13	website/snippets/lib/capabilities.dart	define-custom-capabilities	Custom capability subclass examples for service metadata.
website/src/content/docs/concepts/capabilities.mdx	100	109	8	website/snippets/lib/capabilities.dart	inspect-capabilities-hastype-getoftype	Inspect capabilities with hasType and getOfType.
website/src/content/docs/concepts/configuration.mdx	40	45	4	website/snippets/lib/plugin_services.dart	anthropic-service-config-getters	PluginService config getters for api key and temperature.
website/src/content/docs/concepts/configuration.mdx	77	85	7	website/snippets/lib/plugin_services.dart	model-config-typed-getters	Typed config accessors including list and bool values.
website/src/content/docs/concepts/event-bus.mdx	19	32	12	website/snippets/lib/event_bus.dart	on-and-emit-basic-event	Basic on handler and emit usage.
website/src/content/docs/concepts/event-bus.mdx	51	61	9	website/snippets/lib/event_bus.dart	priority-stop-cascade-example	Priority ordering with stop to short circuit cascade.
website/src/content/docs/concepts/event-bus.mdx	89	99	9	website/snippets/lib/event_bus.dart	async-request-handler-and-request	Async request handler and request call example.
website/src/content/docs/concepts/event-bus.mdx	123	139	15	website/snippets/lib/event_bus.dart	identifier-scoped-handlers-example	Identifier scoped handlers and emit identifier usage.
website/src/content/docs/concepts/event-bus.mdx	169	181	11	website/snippets/lib/event_bus.dart	emit-result-stopped-and-mutated	Read stopped flag and mutated payload from emit result.
website/src/content/docs/concepts/events.mdx	40	46	5	website/snippets/lib/event_bus.dart	immutable-event-payload-definition	Immutable event payload class shape.
website/src/content/docs/concepts/events.mdx	107	113	5	website/snippets/lib/plugin_lifecycle.dart	attach-and-register-event-handler	Attach method registering typed event handler.
website/src/content/docs/concepts/plugin-services.mdx	30	35	4	website/snippets/lib/plugin_services.dart	model-router-service-config	ModelRouter service reads default model and temperature.
website/src/content/docs/concepts/runtime.mdx	48	57	8	website/snippets/lib/runtime_settings.dart	runtime-init-with-default-enabled-plugins	runtime.init with default enabled plugin ids.
website/src/content/docs/concepts/runtime.mdx	67	77	9	website/snippets/lib/runtime_settings.dart	update-settings-disable-plugin	Disable plugin via settings copyWith then updateSettings.
