doc_file	start_line	end_line	old_classification	decision	target_file	region_name	notes
skills/plugin-kit/anti-patterns.md	100	105	pseudocode	tiny-fragment-keep-fenced			close of code block + prose; no extractable code
skills/plugin-kit/anti-patterns.md	110	117	pseudocode	tiny-fragment-keep-fenced			interior of already-anchored anti-pattern-resolve-in-register-fix block
skills/plugin-kit/anti-patterns.md	168	173	pure-fragment	tiny-fragment-keep-fenced			close of code block + prose; no fenced code
skills/plugin-kit/anti-patterns.md	179	184	pseudocode	tiny-fragment-keep-fenced			interior of already-anchored anti-pattern-cache-resolution-fix block
skills/plugin-kit/anti-patterns.md	189	192	pseudocode	tiny-fragment-keep-fenced			pure prose (resolution cost explanation); no code
skills/plugin-kit/anti-patterns.md	221	225	pure-fragment	pseudocode-keep-fenced			section header + fence-start for block containing /* ... */ pseudocode (line 228)
skills/plugin-kit/api-cheatsheet.md	21	65	pure-fragment	migrated	website/snippets/lib/api_reference.dart	api-cheatsheet-typed-handles-index	full typed-handles index: PluginId/Namespace/ServiceId/Pin construction and inspection
skills/plugin-kit/api-cheatsheet.md	71	101	pseudocode	pseudocode-keep-fenced			contains on<MyEvent>(context, (e) => /* ... */); undefined MyService/MyEvent
skills/plugin-kit/api-cheatsheet.md	145	157	pure-fragment	tiny-fragment-keep-fenced			already anchored with code-excerpt capability-in-plugin-register
skills/plugin-kit/api-cheatsheet.md	169	173	pure-fragment	tiny-fragment-keep-fenced			close of text-fence + prose + code-excerpt anchor; no code block
skills/plugin-kit/api-cheatsheet.md	176	182	pure-fragment	tiny-fragment-keep-fenced			interior of already-anchored api-reference-request-patterns block
skills/plugin-kit/api-cheatsheet.md	185	191	pure-fragment	tiny-fragment-keep-fenced			interior of already-anchored api-reference-request-patterns block
skills/plugin-kit/api-cheatsheet.md	213	232	pseudocode	pseudocode-keep-fenced			mix of bare statements (registry/context without context) and /* ... */ at line 238
skills/plugin-kit/api-cheatsheet.md	247	258	pseudocode	tiny-fragment-keep-fenced			pure prose (signature contract bullet points + section header)
skills/plugin-kit/api-cheatsheet.md	282	285	pure-fragment	tiny-fragment-keep-fenced			interior of pseudocode block (ResponseType(...) fictional type)
skills/plugin-kit/api-cheatsheet.md	292	296	pure-fragment	tiny-fragment-keep-fenced			bind 2-liner; pattern already covered by api-reference-bind-pattern
skills/plugin-kit/api-cheatsheet.md	330	354	pseudocode	pseudocode-keep-fenced			interior of runtime-settings-json block + Sessions block with /* ... */ and MySessionContext fictional type
skills/plugin-kit/api-cheatsheet.md	358	362	pure-fragment	tiny-fragment-keep-fenced			interior of pseudocode Sessions block (expression-statements as doc annotations)
skills/plugin-kit/api-cheatsheet.md	368	394	pseudocode	pseudocode-keep-fenced			spans close of Sessions block + Runtime block with PluginRuntime(plugins: [/* ... */])
skills/plugin-kit/testing.md	17	25	pure-fragment	pseudocode-keep-fenced			block contains FakeLogger() fictional type; not compilable without definition
skills/plugin-kit/testing.md	31	36	pure-fragment	migrated	website/snippets/lib/testing.dart	testing-assert-cascade	cascade mutation assertion with DraftMessage; real compilable pattern
