doc_file	start_line	end_line	target_file	actual_region_name	notes
packages/flutter_plugin_kit/README.md	72	79	website/snippets/lib/flutter_integration.dart	watch-event-builder-readme	Builder watchEvent example in package README.
packages/plugin_kit/README.md	200	225	website/snippets/lib/event_bus.dart	event-bus-subscribe-emit-request-bind	on stop emit bind onRequest request cascade example.
packages/plugin_kit/README.md	245	261	website/snippets/lib/runtime_settings.dart	runtime-settings-pins-json-roundtrip	RuntimeSettings with Pin and wildcard plus JSON round trip.
packages/plugin_kit/README.md	269	284	website/snippets/lib/capabilities.dart	define-custom-capabilities	Define capability and query resolveRaw wrapper metadata. Plan had capability-register-factory-and-query; actual region covers capability class definitions.
packages/plugin_kit/README.md	301	340	website/snippets/lib/api_reference.dart	(orphan)	api_reference.dart has no docregion markers; Codex left it as a stub library with no snippet blocks.
packages/plugin_kit_dialog/README.md	32	47	website/snippets/lib/dialog.dart	(orphan)	dialog.dart only has plugin-kit-visual-model-reference; show-dialog and dialog-API regions were never written by Codex.
packages/plugin_kit_dialog/README.md	139	147	website/snippets/lib/config_fields.dart	extension-field-color-picker	ExtensionConfigField color picker renderer example.
packages/plugin_kit_dialog/README.md	223	245	website/snippets/lib/dialog.dart	(orphan)	dialog.dart only has plugin-kit-visual-model-reference; dialog-api-surface region was not written by Codex.
packages/plugin_kit_dialog/README.md	249	260	website/snippets/lib/config_fields.dart	(orphan)	config_fields.dart has no config-field-types region; only extension-field-color-picker and extension-field-color-picker-guide exist.
skills/plugin-kit/anti-patterns.md	44	51	website/snippets/lib/anti_patterns_settings.dart	raw-string-service-pin-anti-pattern	Bad raw string keys in RuntimeSettings services map.
skills/plugin-kit/anti-patterns.md	56	65	website/snippets/lib/anti_patterns_settings.dart	typed-pin-settings-preferred-pattern	Preferred typed PluginId Pin builders for settings.
skills/plugin-kit/anti-patterns.md	71	77	website/snippets/lib/anti_patterns_registry.dart	resolve-during-register-anti-pattern	Avoid eager resolve in register; can capture wrong scope.
skills/plugin-kit/anti-patterns.md	82	94	website/snippets/lib/anti_patterns_registry.dart	(orphan)	Doc block shows lazy-closure and attach-resolve patterns (two separate examples); Codex split them into resolve-during-register-anti-pattern, attach-cache-dependency-stateful-service, and resolve-inside-event-handler-pattern — no single region covers both (a) and (b) together.
skills/plugin-kit/anti-patterns.md	123	133	website/snippets/lib/anti_patterns_registry.dart	attach-cache-dependency-stateful-service	Stateful service resolves once in attach and reuses.
skills/plugin-kit/anti-patterns.md	138	143	website/snippets/lib/anti_patterns_registry.dart	resolve-inside-event-handler-pattern	Resolve dependency inside handler when lookup is cheap.
skills/plugin-kit/anti-patterns.md	208	215	website/snippets/lib/anti_patterns_naming.dart	(orphan)	anti_patterns_naming.dart has no docregion markers; Codex left it as a stub library.
skills/plugin-kit/anti-patterns.md	229	238	website/snippets/lib/anti_patterns_events.dart	(orphan)	anti_patterns_events.dart has no docregion markers; Codex left it as a stub library.
